OrderID,Date,Salesperson,Region,Product,Qty,Price,Discount,Revenue,Returns,Profit
1001,2024-04-12,Lucy,East,Keyboard,1,120,0.1,108.0,0,16.3959241991609
1002,2024-12-14,James,East,Monitor,6,800,0.15,4080.0,0,1204.2449078899174
1003,2024-09-27,Zara,West,Monitor,4,450,0.2,1440.0,50,269.24290191326224
1004,2024-04-16,Priya,North,Monitor,3,250,0.05,712.5,20,172.64140537591152
1005,2024-03-12,Priya,West,Keyboard,3,450,0.0,1350.0,100,577.5541217263976
1006,2024-07-07,Amara, north ,Headset,1,250,0.0,250.0,0,49.62709149554902
1007,2024-01-21,Kwame,North,Monitor,7,25,0.2,140.0,10,61.564957428169976
1008,2024-04-12,John,East,Tablet,5,75,0.15,318.75,100,67.49158729961344
1009,2024-05-01,Chen,North,Keyboard,7,800,0.15,4760.0,20,1772.9564028906327
1010,2024-08-02,John,South,Monitor,2,800,0.2,1280.0,10,401.92406972056773
1011,2024-11-26,Zara,SOUTH,Headset,5,45,0.15,191.25,50,79.43446699586406
1012,2024-03-28,Lucy,East,Keyboard,5,45,0.0,225.0,0,71.14454474646134
1013,2024-04-09,John,West,Phone,6,75,0.0,450.0,0,139.6654945861017
1014,2024-12-25,James,East,Headset,1,45,0.05,42.75,100,8.919248854724728
1015,2024-05-31,John,East,Tablet,7,800,0.2,4480.0,0,895.4122625974293
1016,2024-05-10, priya ,South,Monitor,7,450,0.1,2835.0,0,1204.7240230237448
1017,2024-05-29,Chen,East,Phone,1,25,0.1,22.5,10,5.58790784223773
1018,2024-11-04,John,South,Phone,7,25,0.05,166.25,50,43.49510246627443
1019,2024-09-14,James,South,Keyboard,1,75,0.05,71.25,20,26.9287306989068
1020,2024-12-09,Amara,South,Phone,6,45,0.15,229.5,0,57.752996764810284
1021,2024-10-20,Lucy,South,Tablet,4,450,0.05,,0,744.9080351258084
1022,2024-07-10,Zara,North,Tablet,5,25,0.05,118.75,10,44.10117677058226
1023,2024-10-03,Amara,West,Laptop,6,25,0.1,135.0,0,44.44588432422351
1024,2024-06-09,Amara,North,Tablet,3,120,0.15,306.0,100,126.76617573800827
1025,2024-11-09,Amara,East,Headset,2,120,0.05,228.0,0,37.59304413110462
1026,2024-01-22,Priya,North,,4,800,0.05,3040.0,0,690.4411752765584
1027,2024-09-09,Lucy,North,Tablet,3,25,0.15,63.75,10,18.456319891974903
1028,2024-08-23,Chen,East,Keyboard,5,75,0.2,300.0,0,65.4280685524369
1029,2024-12-10,Kwame,East,Laptop,7,250,0.15,1487.5,0,555.0926898335853
1030,2024-02-18,Lucy,East,Phone,1,250,0.1,225.0,10,95.79654209612647
1031,2024-02-28,Priya,North,Laptop,5,450,0.2,1800.0,0,498.83586476269863
1032,2024-06-18,Kwame,North,Phone,6,25,0.0,150.0,0,37.89596700503527
1033,2024-07-06,Lucy,East,Keyboard,2,25,0.15,42.5,20,18.634771834753973
1034,2024-09-27,Amara,West,Laptop,6,800,0.1,4320.0,50,1224.5287529444931
1035,2024-07-08,Zara,West,Monitor,4,25,0.2,80.0,0,23.737161610782795
1036,2024-06-23,Kwame,South,Headset,4,75,0.15,255.0,10,65.15121523415577
1037,2024-02-20,James,East,Headset,2,120,0.05,228.0,100,96.41311555403027
